,Place,Potential Exposure Window,Address,Details,Zone,Last Updated,Exposure area,Geolocation Address,Geolocation Address Coords,longitude,latitude
10,Hermitage,"Fri, 11/26/2021 - 16:30 to 23:00","1460 Lower Water St., Halifax",details,Central,11/30/2021 - 19:41,Hermitage,"Hermitage-1460 Lower Water St., Halifax","[{'address': '1460 Lower Water St, Halifax, Nova Scotia, B3J 0J3', 'location': {'x': -63.57002402652391, 'y': 44.64448289996914}, 'score': 97.19, 'attributes': {'URL': '', 'address': '1460 Lower Water St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57102402652391, 'ymin': 44.64348289996914, 'xmax': -63.56902402652391, 'ymax': 44.64548289996914}}, {'address': 'Lower Water St, Halifax, Nova Scotia, B3J', 'location': {'x': -63.57157823869807, 'y': 44.6479571307641}, 'score': 85.78, 'attributes': {'URL': '', 'address': 'Lower Water St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57257823869807, 'ymin': 44.6469571307641, 'xmax': -63.570578238698076, 'ymax': 44.648957130764096}}, {'address': 'Lower Water St, Halifax, Nova Scotia, B3J 3S8', 'location': {'x': -63.56849538517745, 'y': 44.6419487836969}, 'score': 85.78, 'attributes': {'URL': '', 'address': 'Lower Water St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.56949538517745, 'ymin': 44.6409487836969, 'xmax': -63.56749538517745, 'ymax': 44.642948783696895}}]",-63.57002402652391,44.64448289996914
11,GoodLife Fitness,"Fri, 11/26/2021 - 11:00 to 13:30","3711 Joseph Howe Dr., Halifax",details,Central,11/30/2021 - 20:05,GoodLife Fitness,"GoodLife Fitness-3711 Joseph Howe Dr., Halifax","[{'address': '3711 Joseph Howe Dr, Halifax, Nova Scotia, B3L 4H8', 'location': {'x': -63.628559551959924, 'y': 44.65987307702179}, 'score': 96.05, 'attributes': {'URL': '', 'address': '3711 Joseph Howe Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.629720020538066, 'ymin': 44.6575999946164, 'xmax': -63.62572002053806, 'ymax': 44.6615999946164}}, {'address': 'Joseph Howe Dr, Halifax, Nova Scotia, B3L 4E6', 'location': {'x': -63.62678216955832, 'y': 44.645240313530095}, 'score': 82.5, 'attributes': {'URL': '', 'address': 'Joseph Howe Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.627782169558316, 'ymin': 44.6442403135301, 'xmax': -63.62578216955832, 'ymax': 44.64624031353009}}, {'address': 'Joseph Howe Dr, Halifax, Nova Scotia, B3L 4H7', 'location': {'x': -63.629408748937614, 'y': 44.657369644095255}, 'score': 82.5, 'attributes': {'URL': '', 'address': 'Joseph Howe Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.63040874893761, 'ymin': 44.65636964409526, 'xmax': -63.628408748937616, 'ymax': 44.65836964409525}}]",-63.628559551959924,44.65987307702179
12,Hermitage,"Thu, 11/25/2021 - 11:30 to 23:00","1460 Lower Water St., Halifax",details,Central,11/30/2021 - 19:40,Hermitage,"Hermitage-1460 Lower Water St., Halifax","[{'address': '1460 Lower Water St, Halifax, Nova Scotia, B3J 0J3', 'location': {'x': -63.57002402652391, 'y': 44.64448289996914}, 'score': 97.19, 'attributes': {'URL': '', 'address': '1460 Lower Water St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57102402652391, 'ymin': 44.64348289996914, 'xmax': -63.56902402652391, 'ymax': 44.64548289996914}}, {'address': 'Lower Water St, Halifax, Nova Scotia, B3J', 'location': {'x': -63.57157823869807, 'y': 44.6479571307641}, 'score': 85.78, 'attributes': {'URL': '', 'address': 'Lower Water St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57257823869807, 'ymin': 44.6469571307641, 'xmax': -63.570578238698076, 'ymax': 44.648957130764096}}, {'address': 'Lower Water St, Halifax, Nova Scotia, B3J 3S8', 'location': {'x': -63.56849538517745, 'y': 44.6419487836969}, 'score': 85.78, 'attributes': {'URL': '', 'address': 'Lower Water St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.56949538517745, 'ymin': 44.6409487836969, 'xmax': -63.56749538517745, 'ymax': 44.642948783696895}}]",-63.57002402652391,44.64448289996914
13,Springhill Miners Memorial Library,"Thu, 11/25/2021 - 10:00 to 13:00","8 Pioneer St., Springhill",details,Northern,11/29/2021 - 19:00,Springhill Miners Memorial Library,"Springhill Miners Memorial Library-8 Pioneer St., Springhill","[{'address': '8 Pioneer St, Springhill, Cumberland, Nova Scotia, B0M', 'location': {'x': -64.05668696577501, 'y': 45.65013492277366}, 'score': 94.9, 'attributes': {'URL': '', 'address': '8 Pioneer St', 'City': 'Cumberland', 'Country': 'CAN'}, 'extent': {'xmin': -64.0574500093723, 'ymin': 45.64918999187751, 'xmax': -64.0554500093723, 'ymax': 45.65118999187751}}]",-64.05668696577501,45.65013492277366
14,The PIER,"Thu, 11/25/2021 - 09:00 to 13:00","1209 Marginal Rd., Halifax",details,Central,11/30/2021 - 19:38,The PIER,"The PIER-1209 Marginal Rd., Halifax","[{'address': '1209 Marginal Rd, Halifax, Nova Scotia, B3H 4P8', 'location': {'x': -63.56701684774505, 'y': 44.640854460233776}, 'score': 97.5, 'attributes': {'URL': '', 'address': '1209 Marginal Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.56801684774505, 'ymin': 44.63985446023378, 'xmax': -63.566016847745054, 'ymax': 44.64185446023377}}, {'address': 'Marginal Rd, Halifax, Nova Scotia, B3J', 'location': {'x': -63.56791693695791, 'y': 44.641097776479405}, 'score': 86.25, 'attributes': {'URL': '', 'address': 'Marginal Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.568916936957905, 'ymin': 44.64009777647941, 'xmax': -63.56691693695791, 'ymax': 44.6420977764794}}]",-63.56701684774505,44.640854460233776
15,Thai Express,"Wed, 11/24/2021 - 17:30 to 19:30","50 Foulis Row, Dartmouth",details,Central,11/25/2021 - 20:16,Thai Express,"Thai Express-50 Foulis Row, Dartmouth","[{'address': 'THAI EXPRESS', 'location': {'x': -63.56274002726594, 'y': 44.70541005164745}, 'score': 100, 'attributes': {'URL': 'https://thaiexpress.ca/locations/?utm_source=Here&utm_medium=LPM&utm_campaign=MTY', 'address': '50 Foulis Row', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.56843999999996, 'ymin': 44.70066000000008, 'xmax': -63.558439999999955, 'ymax': 44.71066000000008}}, {'address': '50 Foulis Row, Dartmouth, Halifax, Nova Scotia, B3B 0E1', 'location': {'x': -63.562738897075455, 'y': 44.70544829252436}, 'score': 96.45, 'attributes': {'URL': '', 'address': '50 Foulis Row', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.564439959456884, 'ymin': 44.704660019398524, 'xmax': -63.56243995945689, 'ymax': 44.70666001939852}}]",-63.56274002726594,44.70541005164745
16,Swiss Chalet,"Wed, 11/24/2021 - 16:30 to 18:15","482 Grand Lake Rd., Sydney",details,Eastern,11/29/2021 - 19:05,Swiss Chalet,"Swiss Chalet-482 Grand Lake Rd., Sydney","[{'address': 'Swiss Chalet', 'location': {'x': -60.15596996667448, 'y': 46.1458499261357}, 'score': 100, 'attributes': {'URL': 'http://www.swisschalet.com', 'address': '482 Grand Lake Rd', 'City': 'Cape Breton', 'Country': 'CAN'}, 'extent': {'xmin': -60.16075999999999, 'ymin': 46.14046000000007, 'xmax': -60.150759999999984, 'ymax': 46.15046000000007}}, {'address': '482 Grand Lake Rd, Sydney, Cape Breton, Nova Scotia, B1P 5S8', 'location': {'x': -60.15596321791218, 'y': 46.145842897773555}, 'score': 96.45, 'attributes': {'URL': '', 'address': '482 Grand Lake Rd', 'City': 'Cape Breton', 'Country': 'CAN'}, 'extent': {'xmin': -60.15676004057925, 'ymin': 46.14446001243659, 'xmax': -60.154760040579255, 'ymax': 46.146460012436584}}]",-60.15596996667448,46.1458499261357
17,Rath Eastlink Community Centre,"Wed, 11/24/2021 - 15:15 to 16:45","aquatics area only (625 Abenaki Rd., Truro)",details,Northern,11/29/2021 - 19:02,Rath Eastlink Community Centre,"Rath Eastlink Community Centre-aquatics area only (625 Abenaki Rd., Truro)","[{'address': 'Truro, Cornwall, England', 'location': {'x': -5.0510597409999605, 'y': 50.263318878000064}, 'score': 73, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'GBR'}, 'extent': {'xmin': -5.078059740999961, 'ymin': 50.23631887800006, 'xmax': -5.02405974099996, 'ymax': 50.290318878000065}}, {'address': 'Truro, Nova Scotia', 'location': {'x': -63.290179999999964, 'y': 45.366160000000036}, 'score': 73, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'CAN'}, 'extent': {'xmin': -63.33917999999996, 'ymin': 45.31716000000004, 'xmax': -63.241179999999964, 'ymax': 45.415160000000036}}, {'address': '625 Abenaki Rd, Truro, Nova Scotia, B2N 0G6', 'location': {'x': -63.304766297016705, 'y': 45.35068711515096}, 'score': 71.33, 'attributes': {'URL': '', 'address': '625 Abenaki Rd', 'City': 'Truro', 'Country': 'CAN'}, 'extent': {'xmin': -63.30702999169055, 'ymin': 45.34923001101951, 'xmax': -63.30302999169054, 'ymax': 45.35323001101951}}, {'address': 'Community Centre, East of Kailash, New Delhi, South East, Delhi', 'location': {'x': 77.24554000000006, 'y': 28.55872000000005}, 'score': 70.8, 'attributes': {'URL': '', 'address': '', 'City': 'New Delhi', 'Country': 'IND'}, 'extent': {'xmin': 77.23554000000006, 'ymin': 28.54872000000005, 'xmax': 77.25554000000007, 'ymax': 28.568720000000052}}, {'address': 'Community Centre, Janakpuri, New Delhi, West, Delhi', 'location': {'x': 77.09403000000003, 'y': 28.611380000000054}, 'score': 70.8, 'attributes': {'URL': '', 'address': '', 'City': 'New Delhi', 'Country': 'IND'}, 'extent': {'xmin': 77.08403000000003, 'ymin': 28.601380000000052, 'xmax': 77.10403000000004, 'ymax': 28.621380000000055}}, {'address': 'Truro, Massachusetts', 'location': {'x': -70.05011999999994, 'y': 41.993670000000066}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'USA'}, 'extent': {'xmin': -70.06011999999994, 'ymin': 41.98367000000007, 'xmax': -70.04011999999993, 'ymax': 42.003670000000064}}, {'address': 'Truro, South Australia', 'location': {'x': 139.12975000000006, 'y': -34.40957999999995}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'AUS'}, 'extent': {'xmin': 139.02675000000005, 'ymin': -34.51257999999995, 'xmax': 139.23275000000007, 'ymax': -34.30657999999995}}, {'address': 'Truro, Iowa', 'location': {'x': -93.84587999999997, 'y': 41.209820000000036}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'USA'}, 'extent': {'xmin': -93.85587999999997, 'ymin': 41.19982000000004, 'xmax': -93.83587999999996, 'ymax': 41.219820000000034}}, {'address': 'Truro, Illinois', 'location': {'x': -90.04238999999995, 'y': 40.95216000000005}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'USA'}, 'extent': {'xmin': -90.05238999999996, 'ymin': 40.94216000000005, 'xmax': -90.03238999999995, 'ymax': 40.96216000000005}}, {'address': 'Truro, North Dakota', 'location': {'x': -101.45041999999995, 'y': 48.69086000000004}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'USA'}, 'extent': {'xmin': -101.46041999999996, 'ymin': 48.680860000000045, 'xmax': -101.44041999999995, 'ymax': 48.70086000000004}}, {'address': 'Truro, Modimolle-Mookgophong, Waterberg, Limpopo', 'location': {'x': 28.916710000000023, 'y': -24.621719999999982}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Modimolle-Mookgophong', 'Country': 'ZAF'}, 'extent': {'xmin': 28.90671000000002, 'ymin': -24.631719999999984, 'xmax': 28.926710000000025, 'ymax': -24.61171999999998}}, {'address': 'Truro, South Australia', 'location': {'x': 139.12731400200005, 'y': -34.40864999699994}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'AUS'}, 'extent': {'xmin': 138.92331400200004, 'ymin': -34.61264999699994, 'xmax': 139.33131400200006, 'ymax': -34.20464999699994}}]",-5.0510597409999605,50.263318878000064
18,Montana’s,"Tue, 11/23/2021 - 15:00 to 17:30","196B Chain Lake Dr., Halifax",details,Central,11/25/2021 - 20:16,Montana’s,"Montana’s-196B Chain Lake Dr., Halifax","[{'address': '196B Chain Lake Dr, Halifax, Nova Scotia, B3S 1C5', 'location': {'x': -63.675768297414564, 'y': 44.65109820639394}, 'score': 97.33, 'attributes': {'URL': '', 'address': '196B Chain Lake Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.67676829741456, 'ymin': 44.65009820639394, 'xmax': -63.674768297414566, 'ymax': 44.65209820639394}}, {'address': '196B Lake Dr, Bedford, Halifax, Nova Scotia, B4A 1H9', 'location': {'x': -63.683544652623446, 'y': 44.715523498576154}, 'score': 94.71, 'attributes': {'URL': '', 'address': '196B Lake Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.684544652623444, 'ymin': 44.714523498576156, 'xmax': -63.68254465262345, 'ymax': 44.71652349857615}}]",-63.675768297414564,44.65109820639394
19,Boston Pizza,"Mon, 11/22/2021 - 18:00 to 20:00","68 Robie St., Truro",details,Northern,11/29/2021 - 19:03,Boston Pizza,"Boston Pizza-68 Robie St., Truro","[{'address': 'Boston Pizza', 'location': {'x': -63.314619999999934, 'y': 45.36779000000007}, 'score': 100, 'attributes': {'URL': 'http://www.bostonpizza.com', 'address': '68 Robie St', 'City': 'Colchester', 'Country': 'CAN'}, 'extent': {'xmin': -63.31961999999994, 'ymin': 45.36279000000007, 'xmax': -63.30961999999993, 'ymax': 45.37279000000007}}]",-63.314619999999934,45.36779000000007
